A, Aa, Ac
B, Ba, Bc
C, Ca, Cc
D, Da, Dc
E, Ea, Ec
SameAuthor1, A, C1
SameAuthor2, A, C2
SameAuthor3, A, C3
SameAuthor4, A, C4
SameAuthor5, A, C5
SameCompany1, A1, C
SameCompany2, A2, C
SameCompany3, A3, C
SameCompany4, A4, C
SameCompany5, A5, C
SameName, A1, C1
SameName, A2, C2
SameName, A3, C3
Don Quixote, Miguel de Cervantes, N
Alice's Adventures in Wonderland, Lewis Carroll, N
The Adventures of Huckleberry Finn, Mark Twain, N
The Adventures of Tom Sawyer, Mark Twain, N
Treasure Island, Robert Louis Stevenson, N
Pride and Prejudice, Jane Austen, N
Wuthering Heights, Emily Brontë, N
Jane Eyre, Charlotte Brontë, N
Moby Dick, Herman Melville, N
The Scarlet Letter, Nathaniel Hawthorne, N
Gulliver's Travels, Jonathan Swift, N
The Pilgrim's Progress, John Bunyan, N
A Christmas Carol, Charles Dickens, N
David Copperfield, Charles Dickens, N
A Tale of Two Cities, Charles Dickens, N
Little Women, Louisa May Alcott, N
Great Expectations, Charles Dickens, N
The Hobbit, or, There and Back Again, J.R.R. Tolkien, N
Frankenstein, or, the Modern Prometheus, Mary Shelley, N
Oliver Twist, Charles Dickens, N
Uncle Tom's Cabin, Harriet Beecher Stowe, N
Crime and Punishment, Fyodor Dostoyevsky, N
Madame Bovary: Patterns of Provincial life, Gustave Flaubert, N
The Return of the King, J.R.R. Tolkien, N
Dracula, Bram Stoker, N
The Three Musketeers, Alexandre Dumas, N
Brave New World, Aldous Huxley, N
War and Peace, Leo Tolstoy, N
To Kill a Mockingbird, Harper Lee, N
The Wizard of Oz, L. Frank Baum, N
Les Misérables, Victor Hugo, N
The Secret Garden, Frances Hodgson Burnett, N
Animal Farm, George Orwell, N
The Great Gatsby, F. Scott Fitzgerald, N
The Little Prince, Antoine de Saint-Exupéry, N
The Call of the Wild, Jack London, N
20,000 Leagues Under the Sea, Jules Verne, N
Anna Karenina, Leo Tolstoy, N
The Wind in the Willows, Kenneth Grahame, N
The Picture of Dorian Gray, Oscar Wilde, N
The Grapes of Wrath, John Steinbeck, N
Sense and Sensibility, Jane Austen, N
The Last of the Mohicans, James Fenimore Cooper, N
Tess of the d'Urbervilles, Thomas Hardy, N
Harry Potter and the Sorcerer's Stone, J.K. Rowling, N
Heidi, Johanna Spyri, N
Ulysses, James Joyce, N
The Complete Sherlock Holmes, Arthur Conan Doyle, N
The Count of Monte Cristo, Alexandre Dumas, N
The Old Man and the Sea, Ernest Hemingway, N
The Lion, the Witch, and the Wardrobe, C.S. Lewis, N
The Hunchback of Notre Dame, Victor Hugo, N
Pinocchio, Carlo Collodi, N
One Hundred Years of Solitude, Gabriel García Márquez, N
Ivanhoe, Walter Scott, N
The Red Badge of Courage, Stephen Crane, N
Anne of Green Gables, L.M. Montgomery, N
Black Beauty, Anna Sewell, N
Peter Pan, J.M. Barrie, N
A Farewell to Arms, Ernest Hemingway, N
The House of the Seven Gables, Nathaniel Hawthorne, N
Lord of the Flies, William Golding, N
The Prince and the Pauper, Mark Twain, N
A Portrait of the Artist as a Young Man, James Joyce, N
Lord Jim, Joseph Conrad, N
